Sensor: LSM6DSL Accelerometer
Vendor: STM
TimestampAcc [ns]; AccX [m/s^2]; AccY [m/s^2]; AccZ [m/s^2]
473999567746638;-0.6273;9.6450;1.1672;
473999587746089;-0.1664;9.7743;0.9720;
473999607709277;-0.6452;9.6067;1.0666;
473999627734947;-0.1891;9.7229;1.0690;
473999647747532;-0.5064;9.6738;0.9349;
473999667712479;-0.4070;9.6582;1.2857;
473999687697818;-0.3089;9.7420;1.2031;
473999707691045;-0.5447;9.6822;1.2043;
473999727679678;-0.2047;9.7983;1.0762;
473999747674263;-0.3891;9.6642;1.2342;
473999767670537;-0.2921;9.7695;1.2031;
473999787662674;-0.5782;9.6774;1.2294;
473999807680261;-0.2191;9.7528;1.1708;
473999827663555;-0.5495;9.6714;0.9708;
473999847652259;-0.2310;9.7217;0.9206;
473999867648977;-0.5399;9.5972;1.0379;
473999887657778;-0.2729;9.6786;1.1887;
473999907713775;-0.4345;9.7564;1.1313;
473999927741196;-0.5100;9.6989;1.2833;
473999947710484;-0.2502;9.7815;1.2258;
473999967687493;-0.6057;9.6642;1.0642;
473999987681132;-0.3172;9.7312;1.1899;
474000007713663;-0.5327;9.6235;1.1959;
474000027691275;-0.2143;9.7887;1.1181;
474000047720139;-0.5698;9.6774;1.0570;
474000067734571;-0.2849;9.6857;1.0534;
474000087702287;-0.4884;9.6881;0.9649;
474000107687164;-0.2897;9.7241;1.1013;
474000127721468;-0.4393;9.6391;1.1456;
474000147738350;-0.3711;9.6331;1.3336;
474000167708926;-0.3124;9.8258;1.2067;
474000187734656;-0.6357;9.7324;1.1205;
474000207702848;-0.1951;9.7444;1.1193;
474000227678790;-0.5112;9.6283;1.2797;
474000247709050;-0.2658;9.7707;1.1552;
474000267719738;-0.5782;9.6331;1.1791;
474000287728870;-0.1724;9.7624;1.0259;
474000307741782;-0.5950;9.6391;0.8847;
474000327742142;-0.3017;9.6486;1.0606;
474000347760784;-0.4238;9.7001;1.0403;
474000367755739;-0.4393;9.6977;1.2737;
474000387702582;-0.2801;9.7564;1.2342;
474000407719215;-0.5686;9.6307;1.2689;
474000427727320;-0.2107;9.7947;1.0786;
474000447728199;-0.5997;9.6750;0.9601;
474000467691927;-0.2741;9.6941;1.0008;
474000487711041;-0.5590;9.6666;1.1528;
474000507687271;-0.1269;9.7648;1.0331;
474000527726367;-0.5938;9.5648;1.1337;
474000547737069;-0.1425;9.7552;1.0666;
474000567733189;-0.5866;9.7468;0.9613;
474000587739595;-0.3903;9.7085;1.3108;
474000607740971;-0.2430;9.7133;1.2665;
474000627741544;-0.5650;9.6247;1.2629;
474000647739965;-0.2394;9.7851;1.0750;
474000667737830;-0.6213;9.6259;1.1013;
474000687700050;-0.2035;9.7348;0.9074;
474000707679507;-0.5938;9.5960;0.7697;
474000728471466;-0.2251;9.7181;1.2175;
474000748067080;-0.6165;9.6343;1.0259;
474000767861964;-0.1221;9.7755;0.9457;
474000787754367;-0.5459;9.6498;1.0534;
474000807716934;-0.2191;9.7205;1.1349;
474000827677429;-0.4477;9.7456;1.1552;
474000847670658;-0.5327;9.7193;1.3731;
474000867670926;-0.2981;9.7707;1.3372;
474000887669021;-0.5231;9.6726;1.3467;
474000907699473;-0.1879;9.7827;1.0511;
474000927693237;-0.6129;9.6295;1.1109;
474000947675889;-0.0575;9.7444;0.9301;
474000967669580;-0.5507;9.6917;0.8954;
474000987662406;-0.2885;9.7348;1.0918;
474001007661723;-0.6584;9.6558;1.0008;
474001027698901;-0.2897;9.7121;0.9421;
474001047713932;-0.5112;9.5744;1.0738;
474001067683698;-0.2658;9.6486;1.2857;
474001087670042;-0.4836;9.7839;1.1217;
474001107661618;-0.4585;9.7408;1.3623;
474001127722425;-0.2394;9.7851;1.4509;
474001147735059;-0.6608;9.6019;1.3443;
474001167739896;-0.1233;9.6977;1.0223;
474001187739487;-0.5842;9.6462;1.0044;
474001207698648;-0.2430;9.7695;1.0379;
474001227715344;-0.5495;9.6426;0.9301;
474001247727307;-0.1580;9.6905;1.0223;
474001267731731;-0.4034;9.7097;0.9266;
474001287729174;-0.3974;9.7133;1.0846;
474001307697857;-0.4513;9.6343;1.3503;
474001327730602;-0.4298;9.6702;1.5383;
474001347736167;-0.2921;9.8677;1.2234;
474001367697392;-0.5531;9.6367;1.0379;
474001387675831;-0.2682;9.6403;1.1959;
474001407666378;-0.5459;9.7420;0.8224;
474001427701036;-0.2526;9.7719;0.8248;
474001447716749;-0.5519;9.4930;0.9876;
474001467685279;-0.4453;9.5361;1.2785;
474001487709986;-0.5950;9.8007;0.7219;
474001507692532;-0.2873;9.5648;1.0594;
474001527727247;-0.1030;9.4559;1.0906;
474001547696489;-0.6345;9.6462;1.0104;
474001567674803;-0.1736;9.9551;0.7422;
474001587702844;-0.6955;9.7157;1.0427;
474001607717788;-0.1161;9.7971;1.0151;
474001627729125;-0.4788;9.6055;0.7865;
474001647734332;-0.3100;9.6271;1.0331;
