Sensor: LSM6DSO Acceleration Sensor
Vendor: STM
TimestampAcc [ns]; AccX [m/s^2]; AccY [m/s^2]; AccZ [m/s^2]
1028172269602490;-0.0982;9.7112;0.9098;
1028172289600090;-0.1006;9.7088;0.9026;
1028172309598356;-0.1293;9.6920;0.8691;
1028172329596622;-0.1077;9.7232;0.8500;
1028172349594122;-0.1341;9.7279;0.8548;
1028172369592255;-0.1556;9.6896;0.8739;
1028172389589755;-0.2059;9.6824;0.8595;
1028172409587255;-0.1963;9.6944;0.8835;
1028172429584688;-0.1915;9.6992;0.8955;
1028172449582121;-0.2035;9.7040;0.8955;
1028172469612954;-0.1868;9.7040;0.8883;
1028172489643787;-0.1748;9.7160;0.9074;
1028172509674587;-0.1532;9.6992;0.9098;
1028172529705453;-0.1628;9.7064;0.8859;
1028172549736319;-0.1389;9.7160;0.8907;
1028172569767119;-0.1101;9.7112;0.8691;
1028172589797919;-0.1030;9.6968;0.8524;
1028172609828785;-0.0934;9.7016;0.8619;
1028172629859651;-0.1197;9.7016;0.8428;
1028172649890451;-0.1245;9.7088;0.8595;
1028172669921251;-0.1317;9.6992;0.8691;
1028172689952084;-0.1532;9.6968;0.8667;
1028172709982917;-0.1580;9.7112;0.8931;
1028172730013683;-0.1484;9.6968;0.8715;
1028172750044549;-0.1556;9.7064;0.8811;
1028172770075515;-0.1724;9.6944;0.8787;
1028172790106515;-0.1772;9.7327;0.9074;
1028172810137548;-0.1676;9.6872;0.8811;
1028172830168714;-0.1939;9.6872;0.8859;
1028172850199880;-0.1844;9.6896;0.8619;
1028172870231913;-0.1484;9.6968;0.8643;
1028172890263079;-0.1317;9.7136;0.8739;
1028172910294245;-0.1437;9.7208;0.8739;
1028172930325345;-0.1245;9.7064;0.8883;
1028172950356445;-0.1173;9.7064;0.8739;
1028172970387611;-0.1317;9.6944;0.8907;
1028172990418777;-0.0982;9.7016;0.9146;
1028173010449877;-0.0814;9.7232;0.8811;
1028173030481043;-0.0886;9.7064;0.8955;
1028173050512209;-0.1197;9.7040;0.8931;
1028173070509975;-0.1724;9.6848;0.8835;
1028173090507741;-0.1820;9.7136;0.8691;
1028173110505541;-0.1844;9.7040;0.8835;
1028173130503341;-0.2083;9.7016;0.8739;
1028173150501074;-0.1820;9.7088;0.8548;
1028173170498874;-0.1580;9.7375;0.8859;
1028173190496674;-0.1508;9.7016;0.8931;
1028173210494474;-0.1508;9.6872;0.9002;
1028173230492240;-0.1580;9.6968;0.8763;
1028173250489373;-0.1245;9.6992;0.9026;
1028173270486506;-0.0958;9.7064;0.8955;
1028173290484272;-0.0862;9.7184;0.8859;
1028173310482038;-0.0886;9.7471;0.8452;
1028173330479871;-0.1221;9.7351;0.8619;
1028173350477671;-0.1365;9.7040;0.8643;
1028173370475304;-0.1796;9.7016;0.8763;
1028173390472904;-0.2011;9.6872;0.8691;
1028173410470470;-0.1724;9.6968;0.9050;
1028173430467903;-0.1844;9.6896;0.9242;
1028173450464636;-0.1676;9.6896;0.8859;
1028173470462136;-0.1844;9.6824;0.8859;
1028173490459636;-0.1820;9.7112;0.9098;
1028173510457069;-0.1437;9.7112;0.8500;
1028173530454569;-0.1389;9.7112;0.8356;
1028173550452069;-0.1221;9.7016;0.8548;
1028173570449502;-0.1173;9.7088;0.8572;
1028173590446935;-0.1030;9.7232;0.8643;
1028173610444435;-0.0958;9.6968;0.8715;
1028173630441968;-0.1221;9.6801;0.9050;
1028173650439434;-0.1293;9.7016;0.8811;
1028173670436967;-0.1317;9.7232;0.8739;
1028173690434500;-0.1389;9.7136;0.9026;
1028173710432033;-0.1796;9.7016;0.9026;
1028173730429499;-0.1652;9.7160;0.8643;
1028173750427032;-0.1604;9.7064;0.8715;
1028173770424565;-0.1796;9.7112;0.8835;
1028173790422031;-0.1820;9.7088;0.8835;
1028173810419497;-0.1580;9.7088;0.8811;
1028173830416997;-0.1724;9.7232;0.8859;
1028173850415230;-0.1508;9.7088;0.8931;
1028173870413496;-0.1484;9.6896;0.8739;
1028173890411129;-0.1245;9.7088;0.8356;
1028173910408762;-0.1293;9.7016;0.8691;
1028173930406328;-0.1077;9.6872;0.9002;
1028173950403894;-0.1101;9.6968;0.8787;
1028173970401527;-0.0982;9.7255;0.8619;
1028173990399160;-0.1149;9.6968;0.8787;
1028174010396726;-0.1293;9.7184;0.8955;
1028174030394359;-0.1365;9.7208;0.8835;
1028174050392692;-0.1628;9.7160;0.8763;
1028174070390258;-0.1748;9.6872;0.8763;
1028174090387824;-0.1508;9.7184;0.8907;
1028174110385457;-0.1772;9.6992;0.8739;
1028174130383090;-0.1724;9.6896;0.8524;
1028174150380656;-0.1724;9.6777;0.8619;
1028174170378289;-0.1676;9.6992;0.8595;
1028174190375922;-0.1484;9.6944;0.8500;
1028174210373555;-0.1652;9.7208;0.8811;
1028174230371088;-0.1437;9.7184;0.8715;
1028174250368021;-0.1173;9.7112;0.8835;
1028174270364954;-0.1293;9.7112;0.8907;
1028174290361820;-0.1197;9.7040;0.8955;
1028174310359153;-0.1221;9.6944;0.8787;
1028174330356786;-0.1365;9.6920;0.8835;
1028174350354419;-0.1461;9.7016;0.8667;
1028174370351985;-0.1413;9.6777;0.8811;
1028174390349618;-0.1556;9.6896;0.8691;
1028174410347251;-0.1676;9.7040;0.8643;
1028174430344817;-0.1652;9.7112;0.8763;
1028174450342350;-0.1820;9.7232;0.8595;
1028174470339850;-0.1580;9.7232;0.8883;
1028174490337350;-0.1461;9.7088;0.8691;
1028174510334783;-0.1628;9.6920;0.9002;
1028174530332283;-0.1365;9.6848;0.8763;
1028174550329783;-0.1437;9.6992;0.9002;
1028174570327216;-0.1580;9.6944;0.8715;
1028174590324649;-0.1437;9.7088;0.8619;
1028174610322149;-0.1317;9.7064;0.8691;
1028174630319649;-0.1269;9.7208;0.8739;
1028174650317115;-0.1365;9.6968;0.8643;
1028174670314648;-0.1341;9.7064;0.8667;
1028174690312181;-0.1221;9.7016;0.8595;
1028174710309714;-0.1269;9.7160;0.9026;
1028174730307180;-0.1413;9.7160;0.8715;
1028174750304713;-0.1532;9.7208;0.9050;
1028174770302246;-0.1437;9.6920;0.8715;
1028174790299712;-0.1604;9.6968;0.9098;
1028174810297178;-0.1748;9.6872;0.8691;
1028174830294711;-0.1556;9.6801;0.8667;
1028174850292911;-0.1484;9.6968;0.8524;
1028174870291044;-0.1461;9.7136;0.8572;
1028174890289277;-0.1556;9.7184;0.8500;
1028174910287143;-0.1652;9.7064;0.8955;
1028174930284809;-0.1365;9.7208;0.8524;
1028174950282509;-0.1389;9.7160;0.8811;
1028174970280342;-0.1437;9.7160;0.8835;
1028174990278175;-0.1269;9.6920;0.9050;
1028175010275941;-0.1365;9.6992;0.8907;
1028175030273774;-0.1389;9.7088;0.8739;
1028175050271607;-0.1317;9.7279;0.8979;
1028175070269373;-0.1317;9.7064;0.8691;
1028175090267139;-0.1508;9.7184;0.8667;
1028175110264972;-0.1484;9.7208;0.8524;
1028175130262805;-0.1293;9.7136;0.8667;
1028175150260571;-0.1484;9.6920;0.8859;
1028175170258404;-0.1652;9.6753;0.8811;
1028175190256237;-0.1628;9.7160;0.8667;
1028175210254070;-0.1389;9.6848;0.8955;
1028175230251836;-0.1556;9.6824;0.8595;
1028175250249636;-0.1484;9.7016;0.8739;
1028175270246736;-0.1652;9.7160;0.8835;
1028175290244469;-0.1317;9.7232;0.8835;
1028175310242202;-0.1508;9.7184;0.8955;
1028175330239535;-0.1317;9.7208;0.8955;
1028175350237335;-0.1293;9.7088;0.8572;
1028175370235101;-0.1293;9.6872;0.8380;
1028175390232934;-0.1437;9.6920;0.8643;
1028175410230767;-0.1365;9.6992;0.8667;
1028175430228533;-0.1461;9.7064;0.8955;
1028175450226299;-0.1077;9.7016;0.8595;
1028175470224132;-0.1341;9.7160;0.8643;
1028175490221932;-0.1317;9.6920;0.8715;
1028175510219565;-0.1532;9.6992;0.8811;
1028175530217165;-0.1389;9.7255;0.8835;
1028175550214731;-0.1413;9.7208;0.8643;
1028175570212164;-0.1676;9.7112;0.8763;
1028175590209597;-0.1652;9.7040;0.8667;
1028175610207097;-0.1652;9.6944;0.8883;
