TimestampGNSS [ns]; UTC time [ms]; Lat [deg]; Lon [deg]; Height [m]; Speed [m/s]; Heading [deg]; Hor Acc [m]; Vert Acc [m]; Speed Acc [m/s]; Heading Acc [deg]
1028230445472860;1605968939000;48.799495862854;9.228413868434;286.8766;0.0000;-3000.0000;4.00000000;3.00000000;0.12216837;-1.00000000;
1028231374001167;1605968940000;48.799495862854;9.228413868434;286.9665;0.0000;-3000.0000;4.00000000;3.00000000;0.12146202;-1.00000000;
1028232408670166;1605968941000;48.799495862854;9.228413868434;287.0319;0.0000;-3000.0000;4.00000000;3.00000000;0.12235757;-1.00000000;
1028233389421165;1605968942000;48.799495862854;9.228413868434;287.0986;0.0000;-3000.0000;4.00000000;3.00000000;0.12068527;-1.00000000;
1028234380397511;1605968943000;48.799495862854;9.228413868434;287.1199;0.0000;-3000.0000;4.00000000;3.00000000;0.12044962;-1.00000000;
1028235385929356;1605968944000;48.799495862854;9.228413868434;287.0901;0.0000;-3000.0000;4.00000000;3.00000000;0.11884800;-1.00000000;
1028236371276740;1605968945000;48.799495862854;9.228413868434;287.2716;0.0000;-3000.0000;4.00000000;3.00000000;0.11921784;-1.00000000;
1028237396542778;1605968946000;48.799495862854;9.228413868434;287.2966;0.0000;-3000.0000;4.00000000;3.00000000;0.11986336;-1.00000000;
1028238384872777;1605968947000;48.799495862854;9.228413868434;287.3263;0.0000;-3000.0000;4.00000000;3.00000000;0.12189841;-1.00000000;
1028239393689661;1605968948000;48.799495862854;9.228413868434;287.3794;0.0000;-3000.0000;4.00000000;3.00000000;0.12009379;-1.00000000;
1028240396712199;1605968949000;48.799495862854;9.228413868434;287.4328;0.0000;-3000.0000;4.00000000;3.00000000;0.11949030;-1.00000000;
1028241395042044;1605968950000;48.799495862854;9.228413868434;287.4795;0.0000;-3000.0000;4.00000000;3.00000000;0.11776629;-1.00000000;
1028242392481774;1605968951000;48.799495862854;9.228413868434;287.5714;0.0000;-3000.0000;4.00000000;3.00000000;0.11668303;-1.00000000;
1028243390632427;1605968952000;48.799495862854;9.228413868434;287.5500;0.0000;-3000.0000;4.00000000;3.00000000;0.11573213;-1.00000000;
1028244394952427;1605968953000;48.799495862854;9.228413868434;287.5555;0.0000;-3000.0000;4.00000000;3.00000000;0.11646107;-1.00000000;
1028245382407964;1605968954000;48.799495862854;9.228413868434;287.3821;0.0000;-3000.0000;4.00000000;3.00000000;0.11971030;-1.00000000;
1028246392993464;1605968955000;48.799495862854;9.228413868434;287.3299;0.0000;-3000.0000;4.00000000;3.00000000;0.11742320;-1.00000000;
1028247389000809;1605968956000;48.799495862854;9.228413868434;287.2789;0.0000;-3000.0000;4.00000000;3.00000000;0.11729393;-1.00000000;
1028248381361270;1605968957000;48.799495862854;9.228413868434;287.2358;0.0000;-3000.0000;4.00000000;3.00000000;0.11780389;-1.00000000;
1028249398734192;1605968958000;48.799495862854;9.228413868434;287.2091;0.0000;-3000.0000;4.00000000;3.00000000;0.11996881;-1.00000000;
1028250383551961;1605968959000;48.799495862854;9.228413868434;287.1506;0.0000;-3000.0000;4.00000000;3.00000000;0.11868273;-1.00000000;
1028251377776460;1605968960000;48.799495862854;9.228413868434;287.0822;0.0000;-3000.0000;4.00000000;3.00000000;0.12059762;-1.00000000;
1028252373734882;1605968961000;48.799495862854;9.228413868434;287.0225;0.0000;-3000.0000;4.00000000;3.00000000;0.12118893;-1.00000000;
1028253405740343;1605968962000;48.799495862854;9.228413868434;286.9008;0.0000;-3000.0000;4.00000000;3.00000000;0.12194807;-1.00000000;
1028254404625689;1605968963000;48.799495862854;9.228413868434;286.9299;0.0000;-3000.0000;4.00000000;3.00000000;0.12241037;-1.00000000;
1028255391426534;1605968964000;48.799495862854;9.228413868434;286.8931;0.0000;-3000.0000;4.00000000;3.00000000;0.12275086;-1.00000000;
1028256383136880;1605968965000;48.799495862854;9.228413868434;286.9348;0.0000;-3000.0000;4.00000000;3.00000000;0.12145980;-1.00000000;
1028257413194456;1605968966000;48.799495862854;9.228413868434;286.9868;0.0000;-3000.0000;4.00000000;3.00000000;0.12286277;-1.00000000;
1028258393210494;1605968967000;48.799495862854;9.228413868434;286.9858;0.0000;-3000.0000;4.00000000;3.00000000;0.12328021;-1.00000000;
1028259398953416;1605968968000;48.799495862854;9.228413868434;286.8800;0.0000;-3000.0000;4.00000000;3.00000000;0.12748870;-1.00000000;
1028260428577492;1605968969000;48.799495862854;9.228413868434;286.7795;0.0000;-3000.0000;4.00000000;3.00000000;0.12551551;-1.00000000;
1028261385199876;1605968970000;48.799495862854;9.228413868434;286.6433;0.0000;-3000.0000;4.00000000;3.00000000;0.12495247;-1.00000000;
1028262415239991;1605968971000;48.799495862854;9.228413868434;286.5481;0.0000;-3000.0000;4.00000000;3.00000000;0.12664308;-1.00000000;
1028263385873067;1605968972000;48.799495862854;9.228413868434;286.4531;0.0000;-3000.0000;4.00000000;3.00000000;0.12606688;-1.00000000;
1028264364296528;1605968973000;48.799495862854;9.228413868434;286.3220;0.0000;-3000.0000;4.00000000;3.00000000;0.12540896;-1.00000000;
1028265389631681;1605968974000;48.799495862854;9.228413868434;286.1979;0.0000;-3000.0000;4.00000000;3.00000000;0.12618071;-1.00000000;
1028266388628488;1605968975000;48.799495862854;9.228413868434;286.1691;0.0000;-3000.0000;4.00000000;3.00000000;0.12444800;-1.00000000;
1028267385669910;1605968976000;48.799495862854;9.228413868434;286.1032;0.0000;-3000.0000;4.00000000;3.00000000;0.12368003;-1.00000000;
1028268389607986;1605968977000;48.799495862854;9.228413868434;286.0205;0.0000;-3000.0000;4.00000000;3.00000000;0.12481322;-1.00000000;
1028269389420832;1605968978000;48.799495862854;9.228413868434;285.9471;0.0000;-3000.0000;4.00000000;3.00000000;0.12782669;-1.00000000;
1028270369941831;1605968979000;48.799495862854;9.228413868434;285.8354;0.0000;-3000.0000;4.00000000;3.00000000;0.12723719;-1.00000000;
1028271369496753;1605968980000;48.799495862854;9.228413868434;285.7988;0.0000;-3000.0000;4.00000000;3.00000000;0.12536539;-1.00000000;
1028272393453676;1605968981000;48.799495862854;9.228413868434;285.7118;0.0000;-3000.0000;4.00000000;3.00000000;0.12755795;-1.00000000;
1028273383831521;1605968982000;48.799495862854;9.228413868434;285.5907;0.0000;-3000.0000;4.00000000;3.00000000;0.12766589;-1.00000000;
1028274415040751;1605968983000;48.799495862854;9.228413868434;285.5394;0.0000;-3000.0000;4.00000000;3.00000000;0.12844895;-1.00000000;
1028275380793020;1605968984000;48.799495862854;9.228413868434;285.3905;0.0000;-3000.0000;4.00000000;3.00000000;0.12964247;-1.00000000;
1028276398452827;1605968985000;48.799495862854;9.228413868434;285.3424;0.0000;-3000.0000;4.00000000;3.00000000;0.12820254;-1.00000000;
1028277404704980;1605968986000;48.799495862854;9.228413868434;285.3283;0.0000;-3000.0000;4.00000000;3.00000000;0.12879790;-1.00000000;
1028278385206364;1605968987000;48.799495862854;9.228413868434;285.2404;0.0000;-3000.0000;4.00000000;3.00000000;0.12678920;-1.00000000;
1028279386482363;1605968988000;48.799495862854;9.228413868434;285.1117;0.0000;-3000.0000;4.00000000;3.00000000;0.12448069;-1.00000000;
1028280370294247;1605968989000;48.799495862854;9.228413868434;284.9533;0.0000;-3000.0000;4.00000000;3.00000000;0.12710473;-1.00000000;
1028281395726131;1605968990000;48.799495862854;9.228413868434;284.8308;0.0000;-3000.0000;4.00000000;3.00000000;0.12955657;-1.00000000;
1028282403486015;1605968991000;48.799495862854;9.228413868434;284.6835;0.0000;-3000.0000;4.00000000;3.00000000;0.12841904;-1.00000000;
1028283373841437;1605968992000;48.799495862854;9.228413868434;284.4662;0.0000;-3000.0000;4.00000000;3.00000000;0.12912953;-1.00000000;
1028284402582860;1605968993000;48.799495862854;9.228413868434;284.2879;0.0000;-3000.0000;4.00000000;3.00000000;0.13029943;-1.00000000;
1028285389903820;1605968994000;48.799495862854;9.228413868434;284.1003;0.0000;-3000.0000;4.00000000;3.00000000;0.13675727;-1.00000000;
1028286454312858;1605968995000;48.799495862854;9.228413868434;283.8976;0.0000;-3000.0000;4.00000000;3.00000000;0.13640247;-1.00000000;
1028287414593204;1605968996000;48.799495862854;9.228413868434;283.7568;0.0000;-3000.0000;4.00000000;3.00000000;0.13453075;-1.00000000;
1028288436948703;1605968997000;48.799495862854;9.228413868434;283.6435;0.0000;-3000.0000;4.00000000;3.00000000;0.13405153;-1.00000000;
1028289382361779;1605968998000;48.799495862854;9.228413868434;283.5278;0.0000;-3000.0000;4.00000000;3.00000000;0.13766687;-1.00000000;
1028290402995317;1605968999000;48.799495862854;9.228413868434;283.3911;0.0000;-3000.0000;4.00000000;3.00000000;0.13788465;-1.00000000;
1028291405476855;1605969000000;48.799495862854;9.228413868434;283.2891;0.0000;-3000.0000;4.00000000;3.00000000;0.13632455;-1.00000000;
1028292397536085;1605969001000;48.799495862854;9.228413868434;283.2262;0.0000;-3000.0000;4.00000000;3.00000000;0.13706966;-1.00000000;
1028293408367699;1605969002000;48.799495862854;9.228413868434;283.0897;0.0000;-3000.0000;4.00000000;3.00000000;0.13474658;-1.00000000;
1028294372853814;1605969003000;48.799495862854;9.228413868434;282.9956;0.0000;-3000.0000;4.00000000;3.00000000;0.12223586;-1.00000000;
1028295382590698;1605969004000;48.799495862854;9.228413868434;282.8590;0.0000;-3000.0000;4.00000000;3.00000000;0.12395637;-1.00000000;
1028296389370274;1605969005000;48.799495862854;9.228413868434;282.8205;0.0000;-3000.0000;4.00000000;3.00000000;0.12786274;-1.00000000;
1028297406520581;1605969006000;48.799495862854;9.228413868434;282.7584;0.0000;-3000.0000;4.00000000;3.00000000;0.12963428;-1.00000000;
1028298389764465;1605969007000;48.799495862854;9.228413868434;282.7430;0.0000;-3000.0000;4.00000000;3.00000000;0.13206080;-1.00000000;
1028299388866195;1605969008000;48.799495862854;9.228413868434;282.7443;0.0000;-3000.0000;4.00000000;3.00000000;0.13201529;-1.00000000;
1028300393620040;1605969009000;48.799495862854;9.228413868434;282.7362;0.0000;-3000.0000;4.00000000;3.00000000;0.13160235;-1.00000000;
1028301394741117;1605969010000;48.799495862854;9.228413868434;282.7400;0.0000;-3000.0000;4.00000000;3.00000000;0.13171248;-1.00000000;
1028302399971539;1605969011000;48.799495862854;9.228413868434;282.7415;0.0000;-3000.0000;4.00000000;3.00000000;0.13116348;-1.00000000;
1028303383988884;1605969012000;48.799495862854;9.228413868434;282.7498;0.0000;-3000.0000;4.00000000;3.00000000;0.13140287;-1.00000000;
1028304376823384;1605969013000;48.799495862854;9.228413868434;282.7327;0.0000;-3000.0000;4.00000000;3.00000000;0.12971076;-1.00000000;
1028305378952498;1605969014000;48.799495862854;9.228413868434;282.6805;0.0000;-3000.0000;4.00000000;3.00000000;0.12776400;-1.00000000;
1028306392549536;1605969015000;48.799495862854;9.228413868434;282.6633;0.0000;-3000.0000;4.00000000;3.00000000;0.12710963;-1.00000000;
1028307393975997;1605969016000;48.799495862854;9.228413868434;282.6186;0.0000;-3000.0000;4.00000000;3.00000000;0.13100266;-1.00000000;
1028308384113073;1605969017000;48.799495862854;9.228413868434;282.6013;0.0000;-3000.0000;4.00000000;3.00000000;0.13033935;-1.00000000;
1028309393613534;1605969018000;48.799495862854;9.228413868434;282.5704;0.0000;-3000.0000;4.00000000;3.00000000;0.13120717;-1.00000000;
1028310400750533;1605969019000;48.799495862854;9.228413868434;282.6070;0.0000;-3000.0000;4.00000000;3.00000000;0.13445468;-1.00000000;
1028311401977417;1605969020000;48.799495862854;9.228413868434;282.5656;0.0000;-3000.0000;4.00000000;3.00000000;0.13551620;-1.00000000;
1028312404384609;1605969021000;48.799495862854;9.228413868434;282.5691;0.0000;-3000.0000;4.00000000;3.00000000;0.13715738;-1.00000000;
1028313383324685;1605969022000;48.799495862854;9.228413868434;282.5116;0.0000;-3000.0000;4.00000000;3.00000000;0.13645251;-1.00000000;
